route_id,status,source_file,page_url,page_type,cta_location,language,destination_url,destination_app_id,existing_event,campaign_handling,production_verified,evidence,notes
rt_home_hero,production_active,src/components/SeoLanding.jsx,/,home,hero,dynamic,getAppStoreUrl(lang),6754511420,none,none,true,Redirects to tw or us storefront based on locale,Primary Hero CTA on desktop and mobile viewports
rt_home_bottom,production_active,src/components/SeoLanding.jsx,/,home,bottom,dynamic,getAppStoreUrl(lang),6754511420,none,none,true,Redirects to tw or us storefront based on locale,Footer block CTA on desktop and mobile viewports
rt_footer_changelog,production_active,src/components/Footer.jsx,"/, /terms, /privacy, /scammer-mind",footer,footer,dynamic,getAppStoreUrl(lang),6754511420,none,none,true,Redirects to local App Store storefront,Footer changelog link labeled What's New
rt_smart_banner,production_active,index.html,全站,global,browser_native,dynamic,Native iOS handling,6754511420,none,none,true,Smart App Banner displays on iOS Safari,Native iOS smart banner using meta apple-itunes-app
rt_ad_us_shorts,paid_only,public/ads/us-shorts.html,/ads/us-shorts,ad,inline,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,gtag_report_conversion,Google Ads conversion tracking only,true,Google Ads tag AW-18226736945 reports conversion,Paid traffic landing page with noindex header
rt_guide_search_iphone,generated_guide,public/guides/reverse-image-search-iphone/index.html,/guides/reverse-image-search-iphone/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_guide_find_source,generated_guide,public/guides/find-image-source/index.html,/guides/find-image-source/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_guide_check_fake,generated_guide,public/guides/check-fake-profile-photo/index.html,/guides/check-fake-profile-photo/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_guide_catfish,generated_guide,public/guides/reverse-image-search-catfish/index.html,/guides/reverse-image-search-catfish/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_guide_romance_scam,generated_guide,public/guides/spot-romance-scam-photos/index.html,/guides/spot-romance-scam-photos/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_guide_lens_alt,generated_guide,public/guides/google-lens-alternative-iphone/index.html,/guides/google-lens-alternative-iphone/,guide,header & bottom_cta,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Statically links to US storefront on App Store,SEO Guide generated by generate-seo-guides.cjs
rt_ref_apple_itunes,api_reference,index.html,/,global,meta_tag,dynamic,meta apple-itunes-app content app-id=6754511420,6754511420,none,none,true,HTML meta tag verified,iOS Smart App Banner meta definition
rt_ref_jsonld_org,api_reference,index.html,/,home,json_ld,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Valid JSON-LD schema sameAs property,Organization schema referencing App Store listing
rt_ref_jsonld_app,api_reference,index.html,/,home,json_ld,en,https://apps.apple.com/us/app/verifyai-image-search/id6754511420,6754511420,none,none,true,Valid JSON-LD schema downloadUrl property,SoftwareApplication schema referencing download page
rt_legacy_hero,legacy_inactive,src/components/Hero.jsx,none,home,hero,dynamic,getAppStoreUrl(lang),6754511420,gtag event,none,false,Component unused on website,Old Hero component with Google Ads conversion call
rt_legacy_cta_comp,legacy_inactive,src/components/CTA.jsx,none,cta_block,cta_block,dynamic,getAppStoreUrl(lang),6754511420,none,none,false,Component unused on website,Generic old CTA component
rt_legacy_campaign_go,legacy_inactive,src/components/Campaign.jsx,none,campaign,inline,dynamic,getAppStoreUrl(lang),6754511420,none,none,false,Component unused on website,Campaign GoToApp button opening App Store
rt_legacy_campaign_copy,legacy_inactive,src/components/Campaign.jsx,none,campaign,inline,dynamic,getAppStoreUrl(lang),6754511420,none,none,false,Component unused on website,Campaign CopyLink button copying App Store URL
rt_legacy_redirect_go,legacy_inactive,public/go/ (deleted),/go/*,redirect,server,dynamic,None (302 redirects to homepage),None,none,none,true,Live request redirects /go/ads to / with parameters,Old YouTube Ads redirection route now handled by _redirects
